date,country,Set,Type,Value
2016-03-01,Canada,Training,True value,-0.3034525658181299
2016-06-01,Canada,Training,True value,0.08299263024813747
2016-09-01,Canada,Training,True value,0.3738698465090898
2016-12-01,Canada,Training,True value,0.4913711320073704
2017-03-01,Canada,Training,True value,0.3508634725242596
2017-06-01,Canada,Training,True value,0.30829429926691304
2017-09-01,Canada,Training,True value,-0.08224933550126966
2017-12-01,Canada,Training,True value,-0.09274226398038322
2018-03-01,Canada,Training,True value,-0.018337495349429505
2018-06-01,Canada,Training,True value,0.08142342540275942
2018-09-01,Canada,Training,True value,0.1454465187433538
2018-12-01,Canada,Training,True value,-0.18399611695791057
2019-03-01,Canada,Training,True value,-0.5786778294423007
2019-06-01,Canada,Training,True value,-0.6129679577637572
2019-09-01,Canada,Training,True value,-0.7071533550538097
2019-12-01,Canada,Training,True value,-0.5397307992066332
2020-03-01,Canada,Training,True value,-1.0170758197835816
2020-06-01,Canada,Training,True value,-4.337694923487141
2020-09-01,Canada,Training,True value,-1.6252576770954423
2020-12-01,Canada,Training,True value,-0.6907298962717845
2021-03-01,Canada,Training,True value,0.8406539907107942
2021-06-01,Canada,Training,True value,4.4629778992222695
2021-09-01,Canada,Training,True value,2.7445483709629785
2021-12-01,Canada,Training,True value,2.6732641350469044
2022-03-01,Canada,Training,True value,2.435625282690215
2006-03-01,Canada,Training,True value,0.849201320875916
2006-06-01,Canada,Training,True value,0.5844990679009323
2006-09-01,Canada,Training,True value,0.18543267771350988
2006-12-01,Canada,Training,True value,-0.14372088522142762
2007-03-01,Canada,Training,True value,-0.03525546318118175
2007-06-01,Canada,Training,True value,0.16790051002572995
2007-09-01,Canada,Training,True value,0.11941253580062484
2007-12-01,Canada,Training,True value,0.09143080030989005
2008-03-01,Canada,Training,True value,-0.18397436584227655
2008-06-01,Canada,Training,True value,-0.33721207544384585
2008-09-01,Canada,Training,True value,-0.16496030116494007
2008-12-01,Canada,Training,True value,-0.7240138776196926
2009-03-01,Canada,Training,True value,-1.5359431917828017
2009-06-01,Canada,Training,True value,-2.0907044909399897
2009-09-01,Canada,Training,True value,-2.2897617695695014
2009-12-01,Canada,Training,True value,-1.4782949160342367
2010-03-01,Canada,Training,True value,-0.4584066186104387
2010-06-01,Canada,Training,True value,0.021918612233255048
2010-09-01,Canada,Training,True value,0.06577654949438161
2010-12-01,Canada,Training,True value,0.08290335798542295
2011-03-01,Canada,Training,True value,0.07404965305618803
2011-06-01,Canada,Training,True value,0.0731360269721937
2011-09-01,Canada,Training,True value,0.26911264311289035
2011-12-01,Canada,Training,True value,0.007907265328106415
2012-03-01,Canada,Training,True value,-0.34076287650696957
2012-06-01,Canada,Training,True value,-0.4256309752231315
2012-09-01,Canada,Training,True value,-0.6391963390451073
2012-12-01,Canada,Training,True value,-0.5189957266878329
2013-03-01,Canada,Training,True value,0.007017665613398488
2013-06-01,Canada,Training,True value,0.22091819516893235
2013-09-01,Canada,Training,True value,0.4491162408979941
2013-12-01,Canada,Training,True value,0.5858693157716496
2014-03-01,Canada,Training,True value,0.24954777352166796
2014-06-01,Canada,Training,True value,0.20330618647359222
2014-09-01,Canada,Training,True value,-0.05349076711613467
2014-12-01,Canada,Training,True value,-0.5812711713518969
2015-03-01,Canada,Training,True value,-1.3173045822455676
2015-06-01,Canada,Training,True value,-1.6782034689913856
2015-09-01,Canada,Training,True value,-1.6486951388770597
2015-12-01,Canada,Training,True value,-1.3527595174763132
2016-03-01,Canada,Training,True value,-0.3034525658181299
2016-06-01,Canada,Training,True value,0.08299263024813747
2016-09-01,Canada,Training,True value,0.3738698465090898
2016-12-01,Canada,Training,True value,0.4913711320073704
2017-03-01,Canada,Training,True value,0.3508634725242596
2017-06-01,Canada,Training,True value,0.30829429926691304
2017-09-01,Canada,Training,True value,-0.08224933550126966
2017-12-01,Canada,Training,True value,-0.09274226398038322
2018-03-01,Canada,Training,True value,-0.018337495349429505
2018-06-01,Canada,Training,True value,0.08142342540275942
2018-09-01,Canada,Training,True value,0.1454465187433538
2018-12-01,Canada,Training,True value,-0.18399611695791057
2019-03-01,Canada,Training,True value,-0.5786778294423007
2019-06-01,Canada,Training,True value,-0.6129679577637572
2019-09-01,Canada,Training,True value,-0.7071533550538097
2019-12-01,Canada,Training,True value,-0.5397307992066332
2020-03-01,Canada,Training,True value,-1.0170758197835816
2020-06-01,Canada,Training,True value,-4.337694923487141
2020-09-01,Canada,Training,True value,-1.6252576770954423
2020-12-01,Canada,Training,True value,-0.6907298962717845
2021-03-01,Canada,Training,True value,0.8406539907107942
2021-06-01,Canada,Training,True value,4.4629778992222695
2021-09-01,Canada,Training,True value,2.7445483709629785
2021-12-01,Canada,Training,True value,2.6732641350469044
2022-03-01,Canada,Training,True value,2.435625282690215
2006-03-01,Canada,Training,True value,0.849201320875916
2006-06-01,Canada,Training,True value,0.5844990679009323
2006-09-01,Canada,Training,True value,0.18543267771350988
2006-12-01,Canada,Training,True value,-0.14372088522142762
2007-03-01,Canada,Training,True value,-0.03525546318118175
2007-06-01,Canada,Training,True value,0.16790051002572995
2007-09-01,Canada,Training,True value,0.11941253580062484
2007-12-01,Canada,Training,True value,0.09143080030989005
2008-03-01,Canada,Training,True value,-0.18397436584227655
2008-06-01,Canada,Training,True value,-0.33721207544384585
2008-09-01,Canada,Training,True value,-0.16496030116494007
2008-12-01,Canada,Training,True value,-0.7240138776196926
2009-03-01,Canada,Training,True value,-1.5359431917828017
2009-06-01,Canada,Training,True value,-2.0907044909399897
2009-09-01,Canada,Training,True value,-2.2897617695695014
2009-12-01,Canada,Training,True value,-1.4782949160342367
2010-03-01,Canada,Training,True value,-0.4584066186104387
2010-06-01,Canada,Training,True value,0.021918612233255048
2010-09-01,Canada,Training,True value,0.06577654949438161
2010-12-01,Canada,Training,True value,0.08290335798542295
2011-03-01,Canada,Training,True value,0.07404965305618803
2011-06-01,Canada,Training,True value,0.0731360269721937
2011-09-01,Canada,Training,True value,0.26911264311289035
2011-12-01,Canada,Training,True value,0.007907265328106415
2012-03-01,Canada,Training,True value,-0.34076287650696957
2012-06-01,Canada,Training,True value,-0.4256309752231315
2012-09-01,Canada,Training,True value,-0.6391963390451073
2012-12-01,Canada,Training,True value,-0.5189957266878329
2013-03-01,Canada,Training,True value,0.007017665613398488
2013-06-01,Canada,Training,True value,0.22091819516893235
2013-09-01,Canada,Training,True value,0.4491162408979941
2013-12-01,Canada,Training,True value,0.5858693157716496
2014-03-01,Canada,Training,True value,0.24954777352166796
2014-06-01,Canada,Training,True value,0.20330618647359222
